Time = 5e-06	RadiusMinRho = 0.000118131	Min(rho) = 1.36051
Time = 1e-05	RadiusMinRho = 0.000150461	Min(rho) = 1.31984
Time = 1.5e-05	RadiusMinRho = 0.00017404	Min(rho) = 1.28031
Time = 2e-05	RadiusMinRho = 0.000193523	Min(rho) = 1.2432
Time = 2.5e-05	RadiusMinRho = 0.000210581	Min(rho) = 1.20827
Time = 3e-05	RadiusMinRho = 0.000225947	Min(rho) = 1.17629
Time = 3.5e-05	RadiusMinRho = 0.000240295	Min(rho) = 1.14391
Time = 4e-05	RadiusMinRho = 0.000253834	Min(rho) = 1.11199
Time = 4.5e-05	RadiusMinRho = 0.00026665	Min(rho) = 1.08177
Time = 5e-05	RadiusMinRho = 0.000278914	Min(rho) = 1.053
Time = 5.5e-05	RadiusMinRho = 0.000290758	Min(rho) = 1.02525
Time = 6e-05	RadiusMinRho = 0.00030226	Min(rho) = 0.998391
Time = 6.5e-05	RadiusMinRho = 0.000313476	Min(rho) = 0.972413
Time = 7e-05	RadiusMinRho = 0.000324452	Min(rho) = 0.947295
Time = 7.5e-05	RadiusMinRho = 0.000335224	Min(rho) = 0.923015
Time = 8e-05	RadiusMinRho = 0.000345822	Min(rho) = 0.899548
Time = 8.5e-05	RadiusMinRho = 0.000356273	Min(rho) = 0.87686
Time = 9e-05	RadiusMinRho = 0.000366597	Min(rho) = 0.854922
Time = 9.5e-05	RadiusMinRho = 0.000376813	Min(rho) = 0.833707
Time = 0.0001	RadiusMinRho = 0.000386937	Min(rho) = 0.813186
Time = 0.000105	RadiusMinRho = 0.000396981	Min(rho) = 0.793335
Time = 0.00011	RadiusMinRho = 0.000406919	Min(rho) = 0.774337
Time = 0.000115	RadiusMinRho = 0.000416813	Min(rho) = 0.755774
Time = 0.00012	RadiusMinRho = 0.000426639	Min(rho) = 0.738026
Time = 0.000125	RadiusMinRho = 0.000436537	Min(rho) = 0.720297
Time = 0.00013	RadiusMinRho = 0.000446357	Min(rho) = 0.703323
Time = 0.000135	RadiusMinRho = 0.000456153	Min(rho) = 0.686868
Time = 0.00014	RadiusMinRho = 0.000465932	Min(rho) = 0.670943
Time = 0.000145	RadiusMinRho = 0.000475638	Min(rho) = 0.655665
Time = 0.00015	RadiusMinRho = 0.000485356	Min(rho) = 0.640835
Time = 0.000155	RadiusMinRho = 0.000495048	Min(rho) = 0.626499
Time = 0.00016	RadiusMinRho = 0.000504763	Min(rho) = 0.612539
Time = 0.000165	RadiusMinRho = 0.000514461	Min(rho) = 0.599028
Time = 0.00017	RadiusMinRho = 0.00052419	Min(rho) = 0.585865
Time = 0.000175	RadiusMinRho = 0.000533914	Min(rho) = 0.573129
Time = 0.00018	RadiusMinRho = 0.000543666	Min(rho) = 0.560722
Time = 0.000185	RadiusMinRho = 0.000553405	Min(rho) = 0.548722
Time = 0.00019	RadiusMinRho = 0.000563191	Min(rho) = 0.53702
Time = 0.000195	RadiusMinRho = 0.000572979	Min(rho) = 0.525696
Time = 0.0002	RadiusMinRho = 0.000582811	Min(rho) = 0.514644
Time = 0.000205	RadiusMinRho = 0.000592648	Min(rho) = 0.503948
Time = 0.00021	RadiusMinRho = 0.000602535	Min(rho) = 0.4935
Time = 0.000215	RadiusMinRho = 0.000612431	Min(rho) = 0.483386
Time = 0.00022	RadiusMinRho = 0.000622383	Min(rho) = 0.473498
Time = 0.000225	RadiusMinRho = 0.000632347	Min(rho) = 0.463925
Time = 0.00023	RadiusMinRho = 0.000642352	Min(rho) = 0.454606
Time = 0.000235	RadiusMinRho = 0.000652395	Min(rho) = 0.445514
Time = 0.00024	RadiusMinRho = 0.00066253	Min(rho) = 0.436598
Time = 0.000245	RadiusMinRho = 0.000672615	Min(rho) = 0.427961
Time = 0.00025	RadiusMinRho = 0.000682744	Min(rho) = 0.419644
Time = 0.000255	RadiusMinRho = 0.000693022	Min(rho) = 0.411392
Time = 0.00026	RadiusMinRho = 0.000703248	Min(rho) = 0.403556
Time = 0.000265	RadiusMinRho = 0.00071361	Min(rho) = 0.395692
Time = 0.00027	RadiusMinRho = 0.000724095	Min(rho) = 0.387935
Time = 0.000275	RadiusMinRho = 0.000734557	Min(rho) = 0.380472
Time = 0.00028	RadiusMinRho = 0.000745084	Min(rho) = 0.373203
Time = 0.000285	RadiusMinRho = 0.000755613	Min(rho) = 0.366196
Time = 0.00029	RadiusMinRho = 0.000766232	Min(rho) = 0.359344
Time = 0.000295	RadiusMinRho = 0.000776969	Min(rho) = 0.352604
Time = 0.0003	RadiusMinRho = 0.000787779	Min(rho) = 0.345974
Time = 0.000305	RadiusMinRho = 0.000798651	Min(rho) = 0.339517
Time = 0.00031	RadiusMinRho = 0.000809557	Min(rho) = 0.333222
Time = 0.000315	RadiusMinRho = 0.000820539	Min(rho) = 0.327096
Time = 0.00032	RadiusMinRho = 0.000831555	Min(rho) = 0.321079
Time = 0.000325	RadiusMinRho = 0.000842784	Min(rho) = 0.315133
Time = 0.00033	RadiusMinRho = 0.000853946	Min(rho) = 0.309377
Time = 0.000335	RadiusMinRho = 0.00086533	Min(rho) = 0.303696
Time = 0.00034	RadiusMinRho = 0.000876673	Min(rho) = 0.29823
Time = 0.000345	RadiusMinRho = 0.000888214	Min(rho) = 0.292782
Time = 0.00035	RadiusMinRho = 0.000899755	Min(rho) = 0.287527
Time = 0.000355	RadiusMinRho = 0.000911517	Min(rho) = 0.282293
Time = 0.00036	RadiusMinRho = 0.000923236	Min(rho) = 0.277262
Time = 0.000365	RadiusMinRho = 0.000935211	Min(rho) = 0.272229
Time = 0.00037	RadiusMinRho = 0.000947137	Min(rho) = 0.267395
Time = 0.000375	RadiusMinRho = 0.000959328	Min(rho) = 0.262556
Time = 0.00038	RadiusMinRho = 0.000971465	Min(rho) = 0.257912
Time = 0.000385	RadiusMinRho = 0.000983894	Min(rho) = 0.253259
Time = 0.00039	RadiusMinRho = 0.000996213	Min(rho) = 0.248828
Time = 0.000395	RadiusMinRho = 0.00100886	Min(rho) = 0.244356
Time = 0.0004	RadiusMinRho = 0.00102146	Min(rho) = 0.240025
Time = 0.000405	RadiusMinRho = 0.00103438	Min(rho) = 0.235703
Time = 0.00041	RadiusMinRho = 0.00104722	Min(rho) = 0.231569
Time = 0.000415	RadiusMinRho = 0.00106038	Min(rho) = 0.227395
Time = 0.00042	RadiusMinRho = 0.00107345	Min(rho) = 0.22344
Time = 0.000425	RadiusMinRho = 0.0010869	Min(rho) = 0.219422
Time = 0.00043	RadiusMinRho = 0.00110028	Min(rho) = 0.215586
Time = 0.000435	RadiusMinRho = 0.00111405	Min(rho) = 0.211708
Time = 0.00044	RadiusMinRho = 0.00112767	Min(rho) = 0.208029
Time = 0.000445	RadiusMinRho = 0.00114168	Min(rho) = 0.204289
Time = 0.00045	RadiusMinRho = 0.00115555	Min(rho) = 0.200748
